Z30_SUB_LIBRARY	Z30_COLLECTION	legacy_code	folio_code
UMDUB	UPER	UMDUB UPER	UMPER
UMDUB	UPERC	UMDUB UPERC	UMLLR
UMDUB	URFM	UMDUB URFM	URFM
UMDUB	URUD	UMDUB URUD	URUD
UMDUB	USCOS	UMDUB USCOS	USCOS
UMDUB	USTOL	UMDUB USTOL	USTOL
UMDUB	USTOY	UMDUB USTOY	UDGEN
UMDUB	USYS	UMDUB USYS	USYS
UMIDA	UICUR	UMIDA UICUR	UICUR
UMIDA	UIJUV	UMIDA UIJUV	UIJUV
UMIDA	UIREG	UMIDA UIREG	UIREG
UMIDA	UIRES	UMIDA UIRES	UIRES
UMIMA	UGEN	UMIMA UGEN	UMIMAGE
UMMDA	UAVE	UMMDA UAVE	UMEQP
UMMDA	UCRIC	UMMDA UCRIC	UCRIC
UMMDA	UDMF	UMMDA UDMF	UMSTOR
UMMDA	UEQP	UMMDA UEQP	UMEQP
UMMDA	UKEY	UMMDA UKEY	UKEY
UMMDA	UMCD	UMMDA UMCD	UMCD
UMMDA	UMDVD	UMMDA UMDVD	UMDVD
UMMDA	UMFIL	UMMDA UMFIL	UMFIL
UMMDA	UMFM	UMMDA UMFM	UMSTOR
UMMDA	UMFS	UMMDA UMFS	UMSTOR
UMMDA	UMMCD	UMMDA UMMCD	UMMCD
UMMDA	UMMFF	UMMDA UMMFF	UMSTOR
UMMDA	UMMVD	UMMDA UMMVD	UMSTOR
UMMDA	UMREP	UMMDA UMREP	UMREP
UMMDA	UMVD	UMMDA UMVD	UMSTOR
UMSCA	UARC	UMSCA UARC	UARC
UMSCA	UMAP	UMSCA UMAP	UMAP
UMSCA	USMF	UMSCA USMF	USMF
UMSCA	USPC	UMSCA USPC	USPC
UMSCA	USPCX	UMSCA USPCX	USPCX
UMSCA	USPRF	UMSCA USPRF	USPRF
UMSCI	UCD	UMSCI UCD	UCD
UMSCI	UEQP	UMSCI UEQP	USEQP
UMSCI	UGEN	UMSCI UGEN	USGEN
UMSCI	UMFF	UMSCI UMFF	UMFF
UMSCI	UNASA	UMSCI UNASA	UNASA
